Sample,Time(sec),Time(min),RawValue,TextValue,Units,SessionNum,SessionID,SessionType,Phase
197,784,13.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
198,788,13.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
199,792,13.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
200,796,13.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
201,800,13.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
202,804,13.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
203,808,13.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
204,812,13.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
205,816,13.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
206,820,13.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
207,824,13.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
208,828,13.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
209,832,13.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
210,836,13.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
211,840,14,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
212,844,14.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
213,848,14.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
214,852,14.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
215,856,14.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
216,860,14.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
217,864,14.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
218,868,14.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
219,872,14.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
220,876,14.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
221,880,14.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
222,884,14.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
223,888,14.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
224,892,14.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
225,896,14.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
226,900,15,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
227,904,15.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
228,908,15.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
229,912,15.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
230,916,15.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
231,920,15.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
232,924,15.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
233,928,15.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
234,932,15.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
235,936,15.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
236,940,15.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
237,944,15.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
238,948,15.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
239,952,15.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
240,956,15.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
241,960,16,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
242,964,16.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
243,968,16.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
244,972,16.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
245,976,16.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
246,980,16.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
247,984,16.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
248,988,16.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
249,992,16.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
250,996,16.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
251,1000,16.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
252,1004,16.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
253,1008,16.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
254,1012,16.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
255,1016,16.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
256,1020,17,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
257,1024,17.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
258,1028,17.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
259,1032,17.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
260,1036,17.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
261,1040,17.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
262,1044,17.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
263,1048,17.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
264,1052,17.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
265,1056,17.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
266,1060,17.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
267,1064,17.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
268,1068,17.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
269,1072,17.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
270,1076,17.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
271,1080,18,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
272,1084,18.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
273,1088,18.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
274,1092,18.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
275,1096,18.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
276,1100,18.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
277,1104,18.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
278,1108,18.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
279,1112,18.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
280,1116,18.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
281,1120,18.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
282,1124,18.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
283,1128,18.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
284,1132,18.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
285,1136,18.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
286,1140,19,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
287,1144,19.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
288,1148,19.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
289,1152,19.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
290,1156,19.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
291,1160,19.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
292,1164,19.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
293,1168,19.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
294,1172,19.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
295,1176,19.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
296,1180,19.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
297,1184,19.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
298,1188,19.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
299,1192,19.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
300,1196,19.93,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
301,1200,20,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
302,1204,20.07,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
303,1208,20.13,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
304,1212,20.2,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
305,1216,20.27,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
306,1220,20.33,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
307,1224,20.4,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
308,1228,20.47,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
309,1232,20.53,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
310,1236,20.6,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
311,1240,20.67,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
312,1244,20.73,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
313,1248,20.8,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
314,1252,20.87,0,Not OFF,NA,1,FLIGHT_1,FLIGHT,CRUISE
